City_ID,City,Lat,Lng,Max_temp,Humidity,Clouds,Wind,Country,Date
281,kouroussa,10.65,-9.88,86.16,63,65,4.83,GN,1593359488
282,george town,5.41,100.34,86.0,74,40,10.29,MY,1593359469
283,zhanaozen,43.3,52.8,76.77,24,100,20.51,KZ,1593359488
284,lagoa,39.05,-27.98,68.43,91,100,6.44,PT,1593359488
285,kandara,25.72,73.28,96.67,40,56,14.88,IN,1593359488
286,sibolga,1.74,98.78,77.63,82,77,3.09,ID,1593359488
287,sur,22.57,59.53,88.57,65,0,16.69,OM,1593359488
288,arman,59.7,150.17,46.8,87,1,2.3,RU,1593359488
289,fort nelson,58.81,-122.7,57.2,76,75,10.29,CA,1593359360
290,sadiqabad,28.31,70.13,105.58,28,0,23.31,PK,1593359489
291,pitimbu,-7.47,-34.81,82.4,74,40,11.41,BR,1593359489
292,wagar,16.15,36.2,102.24,11,85,3.04,SD,1593359489
293,suez,29.97,32.53,90.88,29,0,19.53,EG,1593359435
294,alexandria,31.22,29.96,77.38,73,0,14.03,EG,1593359489
295,san patricio,19.22,-104.7,84.2,74,75,8.37,MX,1593359489
296,kenai,60.55,-151.26,48.2,87,90,3.36,US,1593359489
297,manggar,-2.88,108.27,82.04,79,80,12.77,ID,1593359489
298,baijiantan,45.63,85.18,73.0,24,100,21.12,CN,1593359490
299,williston,48.15,-103.62,72.0,74,95,10.8,US,1593359490
300,ilampillai,11.6,78.0,81.75,71,99,5.17,IN,1593359490
301,kieta,-6.22,155.63,79.16,79,85,2.46,PG,1593359490
302,verkh-usugli,52.7,115.17,57.29,78,89,1.66,RU,1593359490
303,longonjo,-12.91,15.25,78.8,26,0,5.82,AO,1593359490
304,vardo,70.37,31.11,44.6,87,75,18.34,NO,1593359490
305,lebu,-37.62,-73.65,53.4,93,96,14.43,CL,1593359490
306,karasjok,69.47,25.51,51.8,66,73,16.11,NO,1593359490
307,sovetskiy,61.36,63.58,55.74,59,100,6.06,RU,1593359491
308,umba,66.69,34.34,51.66,70,100,7.23,RU,1593359491
309,elizabethtown,37.69,-85.86,69.8,100,90,10.29,US,1593359491
310,cayenne,4.93,-52.33,86.0,66,65,4.68,GF,1593359332
311,corinto,37.94,22.96,91.99,32,0,7.0,GR,1593359491
312,salalah,17.02,54.09,86.0,84,75,14.99,OM,1593359491
313,maniitsoq,65.42,-52.9,42.37,87,78,8.1,GL,1593359491
314,talara,-4.58,-81.27,72.1,67,7,14.32,PE,1593359491
315,ofunato,39.07,141.72,62.15,88,4,4.34,JP,1593359492
316,vila,42.03,-8.16,75.0,72,48,10.0,PT,1593359489
317,waingapu,-9.66,120.26,74.93,81,98,10.42,ID,1593359492
318,mutare,-18.97,32.67,62.55,38,0,1.72,ZW,1593359492
319,linfen,36.09,111.52,79.21,54,27,5.57,CN,1593359492
320,saint anthony,45.02,-93.22,82.0,51,1,9.17,US,1593359492
321,khani,41.96,42.96,78.8,65,40,13.87,GE,1593359492
322,dourbali,11.81,15.86,98.55,29,70,2.33,TD,1593359492
323,lingao,19.91,109.69,83.17,75,90,5.59,CN,1593359493
324,leglise,49.8,5.54,66.0,73,100,1.01,BE,1593359493
325,lima,-12.04,-77.03,60.8,82,90,5.82,PE,1593359330
326,peniche,39.36,-9.38,80.01,77,2,10.0,PT,1593359493
327,kiama,-34.68,150.87,52.0,94,6,5.01,AU,1593359493
328,dingli,35.86,14.38,84.2,39,0,10.29,MT,1593359493
329,harper,4.38,-7.72,79.14,72,82,11.95,LR,1593359493
330,chany,55.31,76.76,53.69,81,72,13.69,RU,1593359493
331,pangnirtung,66.15,-65.71,48.31,62,48,4.32,CA,1593359493
332,jingdezhen,29.29,117.21,79.65,82,100,3.8,CN,1593359493
333,kamaishi,39.27,141.88,61.84,89,9,5.3,JP,1593359494
334,mukhen,48.1,136.1,59.38,94,96,3.33,RU,1593359494
335,tongchuan,35.08,109.09,69.31,79,0,2.35,CN,1593359494
336,mar del plata,-38.0,-57.56,48.2,76,20,4.7,AR,1593359352
337,kaitangata,-46.28,169.85,46.0,74,100,5.99,NZ,1593359494
338,yar-sale,66.83,70.83,53.56,61,78,6.08,RU,1593359494
339,touros,-5.2,-35.46,84.2,66,75,10.29,BR,1593359494
340,san vicente,-26.62,-54.13,66.99,58,52,2.46,AR,1593359494
341,mwinilunga,-11.74,24.43,75.07,33,64,8.34,ZM,1593359494
342,millinocket,45.66,-68.71,73.4,64,20,3.36,US,1593359346
343,nemuro,43.32,145.57,49.08,97,100,15.43,JP,1593359495
344,rach gia,10.02,105.08,81.52,80,98,10.04,VN,1593359495
345,bambanglipuro,-7.95,110.28,77.31,86,59,9.73,ID,1593359495
346,coquimbo,-29.95,-71.34,55.4,82,75,3.36,CL,1593359495
347,manokwari,-0.87,134.08,78.03,75,100,6.31,ID,1593359495
348,avera,33.19,-82.53,89.6,59,1,10.29,US,1593359495
349,mubi,10.27,13.26,84.45,62,73,6.31,NG,1593359495
350,prince rupert,54.32,-130.32,51.8,100,90,2.24,CA,1593359495
351,qinzhou,21.95,108.62,82.69,81,80,7.78,CN,1593359495
352,mersing,2.43,103.84,77.0,100,67,3.36,MY,1593359495
